answer_id,question,business_unit,answer_date,confidence_score,source_type,grounded,has_citation,data_type
ANS-0001,Apa syarat approval untuk pengadaan di atas Rp200 juta?,Compliance,2025-02-23,0.94,internal_kb,True,True,synthetic
ANS-0002,Apa perbedaan RAB Direktorat Bidang dan RAB reguler?,Finance & Risk,2026-04-04,0.978,internal_kb,True,True,synthetic
ANS-0003,Apa perbedaan RAB Direktorat Bidang dan RAB reguler?,Operations,2025-05-09,0.967,internal_kb,True,True,synthetic
ANS-0004,Dokumen apa yang wajib dilampirkan pada RKS pengadaan?,IT & Digital,2026-04-21,0.987,internal_kb,True,True,synthetic
ANS-0005,Apakah kontrak vendor laptop saat ini sudah termasuk PPN?,Operations,2025-06-04,0.954,internal_kb,True,True,synthetic
ANS-0006,Apa syarat approval untuk pengadaan di atas Rp200 juta?,IT & Digital,2025-12-06,0.945,internal_kb,True,True,synthetic
ANS-0007,Siapa yang berwenang menyetujui perubahan spesifikasi pengadaan?,Operations,2026-01-28,0.694,internal_kb,True,True,synthetic
ANS-0008,Bagaimana prosedur jika ditemukan indikasi harga di luar benchmark pasar?,Finance & Risk,2024-11-22,0.932,user_provided,True,True,synthetic
ANS-0009,Dokumen apa yang wajib dilampirkan pada RKS pengadaan?,Compliance,2025-06-01,0.946,internal_kb,True,True,synthetic
ANS-0010,Apa perbedaan RAB Direktorat Bidang dan RAB reguler?,IT & Digital,2026-05-08,0.732,external_web,True,True,synthetic
ANS-0011,Siapa yang berwenang menyetujui perubahan spesifikasi pengadaan?,Retail Banking,2025-08-28,0.904,internal_kb,True,True,synthetic
ANS-0012,Apa syarat approval untuk pengadaan di atas Rp200 juta?,Compliance,2025-05-23,0.885,internal_kb,True,True,synthetic
ANS-0013,Apa perbedaan RAB Direktorat Bidang dan RAB reguler?,IT & Digital,2025-10-07,0.864,internal_kb,True,True,synthetic
ANS-0014,Siapa yang berwenang menyetujui perubahan spesifikasi pengadaan?,IT & Digital,2025-10-25,0.755,user_provided,True,True,synthetic
ANS-0015,Apa perbedaan RAB Direktorat Bidang dan RAB reguler?,Finance & Risk,2024-10-11,0.356,internal_kb,True,True,synthetic
ANS-0016,Dokumen apa yang wajib dilampirkan pada RKS pengadaan?,Compliance,2024-11-08,0.549,user_provided,True,True,synthetic
ANS-0017,Siapa yang berwenang menyetujui perubahan spesifikasi pengadaan?,Operations,2025-06-28,0.87,internal_kb,True,True,synthetic
ANS-0018,Dokumen apa yang wajib dilampirkan pada RKS pengadaan?,Retail Banking,2025-08-01,0.588,internal_kb,True,True,synthetic
ANS-0019,Berapa lama masa berlaku kontrak vendor laptop 2024?,Corporate Affairs,2025-02-02,0.89,internal_kb,True,True,synthetic
ANS-0020,Apa syarat approval untuk pengadaan di atas Rp200 juta?,Finance & Risk,2025-07-31,0.978,internal_kb,True,True,synthetic
ANS-0021,Dokumen apa yang wajib dilampirkan pada RKS pengadaan?,Retail Banking,2025-10-11,0.866,internal_kb,True,True,synthetic
ANS-0022,Berapa ambang batas nilai yang memerlukan tanda tangan Direktur?,Finance & Risk,2025-06-30,0.917,internal_kb,True,True,synthetic
ANS-0023,Dokumen apa yang wajib dilampirkan pada RKS pengadaan?,Compliance,2024-10-16,0.948,internal_kb,True,True,synthetic
ANS-0024,Siapa yang berwenang menyetujui perubahan spesifikasi pengadaan?,Compliance,2026-06-01,0.964,external_web,True,True,synthetic
ANS-0025,Berapa lama masa berlaku kontrak vendor laptop 2024?,IT & Digital,2025-04-20,0.942,internal_kb,True,True,synthetic
ANS-0026,Apakah ada ketentuan margin vendor yang dibakukan?,Compliance,2025-10-27,0.88,internal_kb,True,True,synthetic
ANS-0027,Apa syarat approval untuk pengadaan di atas Rp200 juta?,Retail Banking,2026-01-14,0.69,internal_kb,True,True,synthetic
ANS-0028,Apakah ada ketentuan margin vendor yang dibakukan?,Retail Banking,2026-04-05,0.966,user_provided,True,True,synthetic
ANS-0029,Bagaimana prosedur jika ditemukan indikasi harga di luar benchmark pasar?,IT & Digital,2026-02-15,0.938,internal_kb,True,True,synthetic
ANS-0030,Apa syarat approval untuk pengadaan di atas Rp200 juta?,Finance & Risk,2026-01-19,0.687,internal_kb,True,True,synthetic
ANS-0031,Dokumen apa yang wajib dilampirkan pada RKS pengadaan?,Corporate Affairs,2025-04-29,0.705,internal_kb,True,True,synthetic
ANS-0032,Apa syarat approval untuk pengadaan di atas Rp200 juta?,Compliance,2026-01-18,0.979,internal_kb,True,True,synthetic
ANS-0033,Apa dasar hukum penyusunan HPS untuk pengadaan laptop?,Operations,2026-01-22,0.951,internal_kb,True,True,synthetic
ANS-0034,Apa dasar hukum penyusunan HPS untuk pengadaan laptop?,Retail Banking,2026-07-08,0.869,internal_kb,True,True,synthetic
ANS-0035,Berapa lama masa berlaku kontrak vendor laptop 2024?,Compliance,2026-02-03,0.91,user_provided,True,True,synthetic
ANS-0036,Siapa yang berwenang menyetujui perubahan spesifikasi pengadaan?,Compliance,2025-06-01,0.976,internal_kb,True,True,synthetic
ANS-0037,Berapa ambang batas nilai yang memerlukan tanda tangan Direktur?,Compliance,2025-10-02,0.922,internal_kb,True,True,synthetic
ANS-0038,Siapa yang berwenang menyetujui perubahan spesifikasi pengadaan?,Corporate Affairs,2025-07-12,0.689,internal_kb,True,True,synthetic
ANS-0039,Apakah kontrak vendor laptop saat ini sudah termasuk PPN?,Corporate Affairs,2025-11-05,0.93,internal_kb,True,True,synthetic
ANS-0040,Apakah ada ketentuan margin vendor yang dibakukan?,Compliance,2025-03-31,0.69,internal_kb,True,True,synthetic
ANS-0041,Dokumen apa yang wajib dilampirkan pada RKS pengadaan?,Operations,2026-01-21,0.649,user_provided,True,True,synthetic
ANS-0042,Bagaimana prosedur jika ditemukan indikasi harga di luar benchmark pasar?,Finance & Risk,2026-08-10,0.307,user_provided,True,True,synthetic
ANS-0043,Apa perbedaan RAB Direktorat Bidang dan RAB reguler?,Compliance,2024-12-02,0.861,internal_kb,True,True,synthetic
ANS-0044,Berapa ambang batas nilai yang memerlukan tanda tangan Direktur?,Compliance,2026-05-18,0.73,user_provided,True,True,synthetic
ANS-0045,Siapa yang berwenang menyetujui perubahan spesifikasi pengadaan?,Operations,2026-06-12,0.786,user_provided,True,True,synthetic
ANS-0046,Apakah ada ketentuan margin vendor yang dibakukan?,Retail Banking,2024-11-25,0.976,internal_kb,True,True,synthetic
ANS-0047,Apa syarat approval untuk pengadaan di atas Rp200 juta?,Corporate Affairs,2024-09-04,0.87,external_web,True,True,synthetic
ANS-0048,Dokumen apa yang wajib dilampirkan pada RKS pengadaan?,Operations,2025-09-12,0.986,internal_kb,True,True,synthetic
ANS-0049,Apa syarat approval untuk pengadaan di atas Rp200 juta?,Compliance,2025-08-14,0.582,internal_kb,True,True,synthetic
ANS-0050,Apa perbedaan RAB Direktorat Bidang dan RAB reguler?,Corporate Affairs,2026-08-10,0.938,internal_kb,True,True,synthetic
ANS-0051,Apakah ada ketentuan margin vendor yang dibakukan?,Corporate Affairs,2024-12-29,0.887,internal_kb,True,True,synthetic
ANS-0052,Apa dasar hukum penyusunan HPS untuk pengadaan laptop?,Compliance,2024-11-21,0.956,user_provided,True,True,synthetic
ANS-0053,Apa perbedaan RAB Direktorat Bidang dan RAB reguler?,Compliance,2026-07-25,0.89,external_web,True,True,synthetic
